"","prolific_id","frame","animacy","Guess 1","adjective_1","emotion_adj_1","Confidence 1","Guess 2","adjective_2","emotion_adj_2","Confidence 2","Guess 3","adjective_3","emotion_adj_3","Confidence 3","Guess 4","adjective_4","emotion_adj_4","Confidence 4"
"1","5dc635c5b1cdc24946d210e0","lexical","inanimate","bag","0","0","2","shawl","0","0","2","scarf","0","0","1","warm","1","0","2"
"2","5f7f239e9b204e05b6c36538","lexical","inanimate","the name of the thing","0","0","1","not happy","1","1","2","not happy","1","1","2","happy","1","1","1"
"3","5f4a5983a08b215d74d2cd99","lexical","inanimate","Cool","1","0","1","sad","1","1","2","sad","1","1","1","sad","1","1","2"
"4","5be76e59d153f500019a700c","lexical","inanimate","a feeling the tulvar gives","0","1","3","something that reacts to the ","0","0","2","it is not a noun but a verb","0","0","2","cold","1","0","2"
"5","6365740d110a1d4e1c79cfac","lexical","inanimate","Slang for cool","1","0","1","Helpful for weather","1","0","2","annoyed","1","1","3","upset","1","1","4"
"6","5f992a860fbcaa247cb2750f","lexical","inanimate","cool","1","0","1","perfect","1","0","1","warm","1","0","1","perfect","1","0","3"
"7","5d2fc33c3af1410018f872ae","lexical","inanimate","pretty","1","0","2","useful","1","0","2","helpful","1","0","1","warm","1","0","1"
"8","60873580bff5d1a4e37d14d2","lexical","inanimate","nice","1","0","3","good","1","0","2","useful","1","0","2","nice","1","0","3"
"9","5dd29e4e2274972a5d4ada96","lexical","inanimate","fashionable","1","0","1","unhappy","1","1","1","uncomfortable","1","0","2","worried","1","1","2"
"10","5ed56b77ff7d880eff84d708","lexical","inanimate","hat","1","0","1","warming","0","0","1","correct","1","0","1","happy","1","1","1"
"11","60aa07ac10464c29f42088d9","lexical","inanimate","New","1","0","2","unsure","1","1","2","unhappy","1","1","2","unhappy","1","1","3"
"12","63bb4a3a48b487f62234debe","lexical","inanimate","new","1","0","1","excited","1","1","2","excited","1","1","2","excited","1","1","2"
"13","6096ace01e65b3225e84d29f","lexical","inanimate","cool","1","0","3","cool","1","0","3","awesome","1","0","3","cool","1","0","3"
"14","61517b09cb26914ee2b6b731","lexical","inanimate","Item","0","0","1","Perfect, good, prepared ","1","0","1","Prepared","1","0","1","excited","1","1","1"
"15","599364c1fc37790001fa4e1d","lexical","inanimate","cool","1","0","1","[blank]","n/a","n/a","1","[blank]","n/a","n/a","1","unhappy","1","1","1"
"16","5e6a11b646df0b0008647b87","lexical","inanimate","the model","0","0","2","warmth device","0","0","1","certain","1","1","2","excited","1","1","2"
"17","63bc9e8cd8106f8d94c636d4","lexical","inanimate","Name","0","0","2","upset","1","1","2","upset","1","1","2","unpleased","1","1","2"
"18","5f61ba7cfdaccd165da6985b","lexical","inanimate","good","1","0","1","good","1","0","1","aware","1","1","2","okay or good","1","0","2"
"19","604669987ce28b034f7ae980","lexical","inanimate","special","1","0","2","excited","1","1","1","excited","1","1","[blank]","excited","1","1","3"
"20","610989f5a53fc140b54538e0","lexical","inanimate","Very cool","1","0","3","Correct?","1","0","1","sure","1","1","3","sure","1","1","3"
"21","600c4d8f3381f8363c4a1899","lexical","inanimate","fuzzy","1","0","1","upset","1","1","1","upset","1","1","2","upset","1","1","1"
"22","5fdf2f9a2b78a56e7b66b9c8","lexical","inanimate","cool","1","0","2","warm","1","0","2","warm","1","0","3","warm","1","0","2"
"23","5c01bf7d4c14cf00019ce2a4","lexical","inanimate","a pet","0","0","1","annoyed","1","1","1","upset","1","1","1","upset","1","1","2"
"24","6321292a23a6ebce8db47d93","lexical","inanimate","Cool","1","0","2","afraid","1","1","2","hot","1","0","3","excited","1","1","3"
"25","5f12f3b9b6d334012fba9ca4","lexical","inanimate","a model ","0","0","1","a device ","0","0","1","annoyed","1","1","2","excited","1","1","2"
"26","5f7ca372a8afc510abbbe99b","lexical","inanimate","exciting","1","0","1","unhappy","1","1","2","unhappy","1","1","2","prepared","1","1","2"
"27","5fa154fd4cbe97227182aff7","lexical","inanimate","[blank]","n/a","n/a","2","[blank]","n/a","n/a","2","happy","1","1","2","happy","1","1","3"
"28","6295c814983374f0c2db15ec","lexical","inanimate","Red","1","0","1","unhappy","1","1","1","unhappy","1","1","2","happy","1","1","2"
"29","60460256be7c58000ad5f8de","lexical","inanimate","Expensive","1","0","3","happy","1","1","2","sad","1","1","2","bad","1","0","1"
"30","607349eb37348422bd6ce08f","lexical","inanimate","cute","1","0","1","annoyed","1","1","1","sure","1","1","1","happy","1","1","1"
"31","5e1297656e8aab8e8a1b3b76","lexical","inanimate","nice","1","0","2","warm","1","0","3","warm","1","0","2","warm","1","0","2"
"32","5b232f6838fc0c000131438c","lexical","inanimate","good","1","0","1","nervous","1","1","1","happy","1","1","1","happy","1","1","2"
"33","60fe11079929d4e3d9f31249","lexical","inanimate","new","1","0","2","upset","1","1","2","upset","1","1","2","nervous","1","1","2"
"34","5ea9de15df734413226d7f0d","lexical","inanimate","nice","1","0","2","useful","1","0","2","ensuring","0","0","1","useful","1","0","2"
"35","63b7d0ea4778caf55db8674e","lexical","inanimate","cool","1","0","2","useful","1","0","1","certain","1","1","2","useful for","1","0","1"
"36","62c4b317f533d33ee1a2e542","lexical","inanimate","Teddy","1","0","1","Dog","0","0","1","upset","1","1","1","happy","1","1","2"
"37","60f8659dc04284bf891de09d","lexical","inanimate","cool","1","0","2","unsure","1","1","2","pleased","1","1","1","happy","1","1","3"
"38","60ac38ab2405314d4be6d529","lexical","inanimate","new","1","0","2","knowledgable","1","0","2","smart","1","0","2","excited","1","1","2"
"39","5e41d56250cd36000ac74d1e","lexical","inanimate","Beautiful","1","0","2","worried","1","1","1","sure","1","1","2","excited","1","1","2"
"40","5d7de72016b0a00001c36af3","lexical","inanimate","New","1","0","1","unimpressed","1","0","1","unimpressed","1","0","1","unhappy","1","1","1"
"41","5f619d46bfaddb146a5c04e6","lexical","inanimate","nice","1","0","[blank]","unsure","1","1","1","unhappy","1","1","2","unhappy","1","1","2"
"42","5fc6a6691dd15336fcc81742","lexical","inanimate","cool","1","0","1","sensitive","1","0","1","sure","1","1","1","happy","1","1","1"
"43","5be2dab1dc5b8d0001ce18a9","lexical","inanimate","warm","1","0","1","unhappy","1","1","1","annoyed","1","1","1","annoyed","1","1","1"
"44","5dc9c2c0b9fad36ddca37632","lexical","inanimate","pretty","1","0","1","useful","1","0","2","annoyed","1","1","2","annoyed","1","1","2"
"45","60aed9850592d6678e2c06ba","lexical","inanimate","new","1","0","2","suitable","1","0","2","certain","1","1","2","great","1","0","3"
"46","60fe79117e082892a4e47723","lexical","inanimate","Present ","1","0","1","unhappy","1","1","1","unhappy","1","1","2","unhappy","1","1","2"
"47","636a740f2956031d8abf5bf1","bleached","inanimate","fun","1","0","1","annoyed","1","1","1","annoyed","1","1","2","excited","1","1","3"
"48","60ab94701eab113dfefe60ad","bleached","inanimate","useful","1","0","1","old","1","0","1","exposed","1","0","3","excited","1","1","2"
"49","5cfb5233df7d70001619ca90","bleached","inanimate","new","1","0","2","crazy","1","1","2","crazy","1","1","2","anxious","1","1","3"
"50","608c4ca9fe8456a133ac3d85","bleached","inanimate","durable","1","0","2","suspicious","1","1","3","suspicious","1","1","4","uncomfortable","1","0","2"
"51","5f805dd87a1fdb064708f313","bleached","inanimate","probably dirty","1","0","3","confident","1","1","2","confident","1","1","2","confident","1","1","3"
"52","5a863fb8f1408d0001768afa","bleached","inanimate","electric","1","0","2","excited","1","1","2","excited","1","1","2","excited","1","1","3"
"53","5f735d195a302d06b07acf90","bleached","inanimate","Cool or ","1","0","2","Great","1","0","2","happy","1","1","2","happy","1","1","2"
"54","5cf91e3f1756e60017a30568","bleached","inanimate","Chocolate Strawberry Vanilla","0","0","2","Sweet  ","1","0","1","happy","1","1","2","excited","1","1","2"
"55","614760e10d7e4f41c50e0082","bleached","inanimate","works well","1","0","1","annoyed","1","1","2","annoyed","1","1","2","annoyed","1","1","2"
